model,year,odometer,price,location,driveTrain,DAS,accident_history,paintJob,wheels,emi,zipCode,interior,state
Model S,,46841,43300,"FORT MYERS, FL",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Solid Black Paint,"19"" Sonic Carbon Slipstream Wheels",$644 /mo,85704,All Black Premium Interior with Figured Ash Wood Décor,FL
Model S,,38244,46100,"Rockville, MD",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,19’’ Silver Wheels,$694 /mo,85704,Cream Premium Interior with Oak Wood Décor,MD
Model S,,13821,47100,"Bartlett, TN",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",$712 /mo,85704,All Black Premium Interior with Figured Ash Wood Décor,TN
Model S,,40551,48100,"Rogers, MN",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Red Multi-Coat Paint,19’’ Silver Wheels,$730 /mo,85704,Cream Premium Interior with Oak Wood Décor,MN
Model S,,22055,51500,,Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,19’’ Silver Wheels,$791 /mo,85704,All Black Premium Interior with Figured Ash Wood Décor,
Model S,,63298,40400,"FORT MYERS, FL",Model S Long Range All-Wheel Drive,Autopilot,Previously Repaired,Midnight Silver Metallic Paint,19’’ Silver Wheels,$592 /mo,91801,Cream Premium Interior with Oak Wood Décor,FL
Model S,,81419,42400,"Lisle, IL",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"21"" Sonic Carbon Twin Turbine Wheels",$628 /mo,91801,All Black Premium Interior with Figured Ash Wood Décor,IL
Model S,,46841,43300,"FORT MYERS, FL",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Solid Black Paint,"19"" Sonic Carbon Slipstream Wheels",$644 /mo,91801,All Black Premium Interior with Figured Ash Wood Décor,FL
Model S,,38244,46100,"Rockville, MD",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,19’’ Silver Wheels,$694 /mo,91801,Cream Premium Interior with Oak Wood Décor,MD
Model S,,13821,47100,"Bartlett, TN",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",$712 /mo,91801,All Black Premium Interior with Figured Ash Wood Décor,TN
Model S,,40551,48100,"Rogers, MN",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Red Multi-Coat Paint,19’’ Silver Wheels,$730 /mo,91801,Cream Premium Interior with Oak Wood Décor,MN
Model S,,22055,51500,,Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,19’’ Silver Wheels,$791 /mo,91801,All Black Premium Interior with Figured Ash Wood Décor,
Model S,,63298,40400,"FORT MYERS, FL",Model S Long Range All-Wheel Drive,Autopilot,Previously Repaired,Midnight Silver Metallic Paint,19’’ Silver Wheels,$592 /mo,95403,Cream Premium Interior with Oak Wood Décor,FL
Model S,,81419,42400,"Lisle, IL",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,"21"" Sonic Carbon Twin Turbine Wheels",$628 /mo,95403,All Black Premium Interior with Figured Ash Wood Décor,IL
Model S,,46841,43300,"FORT MYERS, FL",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Solid Black Paint,"19"" Sonic Carbon Slipstream Wheels",$644 /mo,95403,All Black Premium Interior with Figured Ash Wood Décor,FL
Model S,,38244,46100,"Rockville, MD",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,19’’ Silver Wheels,$694 /mo,95403,Cream Premium Interior with Oak Wood Décor,MD
Model S,,13821,47100,"Bartlett, TN",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",$712 /mo,95403,All Black Premium Interior with Figured Ash Wood Décor,TN
Model S,,40551,48100,"Rogers, MN",Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Red Multi-Coat Paint,19’’ Silver Wheels,$730 /mo,95403,Cream Premium Interior with Oak Wood Décor,MN
Model S,,22055,51500,,Model S Long Range All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Pearl White Multi-Coat Paint,19’’ Silver Wheels,$791 /mo,95403,All Black Premium Interior with Figured Ash Wood Décor,
Model S,,41391,47300,"Available to view in Colma, CA",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Solid Black Paint,19'' Tempest Wheels,$716 /mo,85209,Black and White Premium Interior with Dark Ash Wood Décor,CA
Model S,,36925,53100,"Colma, CA",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic,19'' Tempest Wheels,$820 /mo,85209,All Black Premium Interior with Figured Ash Wood Décor,CA
Model S,,16994,58800,"Available to view in Colma, CA",Model S Long Range Plus All-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,19'' Tempest Wheels,$923 /mo,85209,Cream Premium Interior with Oak Wood Décor,CA
Model S,,45284,47200,"Dedham, MA",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic,"19"" Sonic Carbon Slipstream Wheels",$714 /mo,85209,All Black Premium Interior with Figured Ash Wood Décor,MA
Model S,,60507,48200,"FORT MYERS, FL",Model S Long Range Plus All-Wheel Drive,Autopilot,Previously Repaired,Pearl White Multi-Coat Paint,"21"" Sonic Carbon Twin Turbine Wheels",$732 /mo,85209,Cream Premium Interior with Oak Wood Décor,FL
Model S,,27828,49400,"Rogers, MN",Model S Long Range Plus All-Wheel Drive,Autopilot,Previously Repaired,Midnight Silver Metallic Paint,19'' Tempest Wheels,$754 /mo,85209,Black and White Premium Interior with Dark Ash Wood Décor,MN
Model S,,25082,49700,"Orlando, FL",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Deep Blue Metallic,"19"" Sonic Carbon Slipstream Wheels",$759 /mo,85209,Cream Premium Interior with Oak Wood Décor,FL
Model S,,32822,49900,"Orland Park, IL",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,19'' Tempest Wheels,$763 /mo,85209,All Black Premium Interior with Figured Ash Wood Décor,IL
